"year","wca","group_id","colony","colony_old","latitude","longitude","species","count","notes"
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,greg,18,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,whib,0,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,wost,0,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,gbhe,0,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,rosp,,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,sneg,0,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,anhi,,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,trhe,0,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,bcnh,0,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,lbhe,0,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,ycnh,,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,glib,0,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,caeg,0,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,dcco,,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,grhe,,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,smhe,,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,lawh,,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,lada,,
1993,,5,frog_city_north,Frog City North,25.760833,-80.5875,smwh,,
1993,,11,,3a gbh,25.769167,-80.686833,greg,0,
1993,,11,,3a gbh,25.769167,-80.686833,whib,0,
1993,,11,,3a gbh,25.769167,-80.686833,wost,0,
1993,,11,,3a gbh,25.769167,-80.686833,gbhe,2,
1993,,11,,3a gbh,25.769167,-80.686833,rosp,,
1993,,11,,3a gbh,25.769167,-80.686833,sneg,0,
1993,,11,,3a gbh,25.769167,-80.686833,anhi,,
1993,,11,,3a gbh,25.769167,-80.686833,trhe,0,
1993,,11,,3a gbh,25.769167,-80.686833,bcnh,0,
1993,,11,,3a gbh,25.769167,-80.686833,lbhe,0,
1993,,11,,3a gbh,25.769167,-80.686833,ycnh,,
1993,,11,,3a gbh,25.769167,-80.686833,glib,0,
1993,,11,,3a gbh,25.769167,-80.686833,caeg,0,
1993,,11,,3a gbh,25.769167,-80.686833,dcco,,
1993,,11,,3a gbh,25.769167,-80.686833,grhe,,
1993,,11,,3a gbh,25.769167,-80.686833,smhe,,
1993,,11,,3a gbh,25.769167,-80.686833,lawh,,
1993,,11,,3a gbh,25.769167,-80.686833,lada,,
1993,,11,,3a gbh,25.769167,-80.686833,smwh,,
1993,,71,,3a GBH,25.771667,-80.820333,greg,0,
1993,,71,,3a GBH,25.771667,-80.820333,whib,0,
1993,,71,,3a GBH,25.771667,-80.820333,wost,0,
1993,,71,,3a GBH,25.771667,-80.820333,gbhe,2,
1993,,71,,3a GBH,25.771667,-80.820333,rosp,,
1993,,71,,3a GBH,25.771667,-80.820333,sneg,0,
1993,,71,,3a GBH,25.771667,-80.820333,anhi,,
1993,,71,,3a GBH,25.771667,-80.820333,trhe,0,
1993,,71,,3a GBH,25.771667,-80.820333,bcnh,0,
1993,,71,,3a GBH,25.771667,-80.820333,lbhe,0,
1993,,71,,3a GBH,25.771667,-80.820333,ycnh,,
1993,,71,,3a GBH,25.771667,-80.820333,glib,0,
1993,,71,,3a GBH,25.771667,-80.820333,caeg,0,
1993,,71,,3a GBH,25.771667,-80.820333,dcco,,
1993,,71,,3a GBH,25.771667,-80.820333,grhe,,
1993,,71,,3a GBH,25.771667,-80.820333,smhe,,
1993,,71,,3a GBH,25.771667,-80.820333,lawh,,
1993,,71,,3a GBH,25.771667,-80.820333,lada,,
1993,,71,,3a GBH,25.771667,-80.820333,smwh,,
1993,,144,,3a gbh,25.7775,-80.733,greg,0,
1993,,144,,3a gbh,25.7775,-80.733,whib,0,
1993,,144,,3a gbh,25.7775,-80.733,wost,0,
1993,,144,,3a gbh,25.7775,-80.733,gbhe,2,
1993,,144,,3a gbh,25.7775,-80.733,rosp,,
1993,,144,,3a gbh,25.7775,-80.733,sneg,0,
1993,,144,,3a gbh,25.7775,-80.733,anhi,,
1993,,144,,3a gbh,25.7775,-80.733,trhe,0,
1993,,144,,3a gbh,25.7775,-80.733,bcnh,0,
1993,,144,,3a gbh,25.7775,-80.733,lbhe,0,
1993,,144,,3a gbh,25.7775,-80.733,ycnh,,
1993,,144,,3a gbh,25.7775,-80.733,glib,0,
1993,,144,,3a gbh,25.7775,-80.733,caeg,0,
1993,,144,,3a gbh,25.7775,-80.733,dcco,,
1993,,144,,3a gbh,25.7775,-80.733,grhe,,
1993,,144,,3a gbh,25.7775,-80.733,smhe,,
1993,,144,,3a gbh,25.7775,-80.733,lawh,,
