time,avg_depth,year
1995-09-16T12:00:00Z,108.51066000331429,1996
1995-09-17T12:00:00Z,108.58980687993261,1996
1995-09-18T12:00:00Z,108.69999442418035,1996
1995-09-19T12:00:00Z,109.29501502043341,1996
1995-09-20T12:00:00Z,109.86281104679944,1996
1995-09-21T12:00:00Z,110.21523858604134,1996
1995-09-22T12:00:00Z,110.44236588778436,1996
1995-09-23T12:00:00Z,110.49624344997943,1996
1995-09-24T12:00:00Z,110.45588131900597,1996
1995-09-25T12:00:00Z,110.20785527724168,1996
1995-09-26T12:00:00Z,109.92133393771076,1996
1995-09-27T12:00:00Z,109.63360999598787,1996
1995-09-28T12:00:00Z,110.45142303402723,1996
1995-09-29T12:00:00Z,111.20323705415777,1996
1995-09-30T12:00:00Z,111.5009414155682,1996
1995-10-01T12:00:00Z,112.35802118064547,1996
1995-10-02T12:00:00Z,112.36202042504708,1996
1995-10-03T12:00:00Z,111.80628122651227,1996
1995-10-04T12:00:00Z,111.01617699607661,1996
1995-10-05T12:00:00Z,112.52718701331145,1996
1995-10-06T12:00:00Z,121.98718766759954,1996
1995-10-07T12:00:00Z,121.85788032289172,1996
1995-10-08T12:00:00Z,121.53215788650742,1996
1995-10-09T12:00:00Z,121.46185956976696,1996
1995-10-10T12:00:00Z,121.54924885613087,1996
1995-10-11T12:00:00Z,120.91589618401393,1996
1995-10-12T12:00:00Z,120.01055357623544,1996
1995-10-13T12:00:00Z,115.65203153522127,1996
1995-10-14T12:00:00Z,116.55953568502608,1996
1995-10-15T12:00:00Z,118.23486298147475,1996
1995-10-16T12:00:00Z,120.18142061056173,1996
1995-10-17T12:00:00Z,121.31207696677828,1996
1995-10-18T12:00:00Z,123.35814356217502,1996
1995-10-19T12:00:00Z,124.34017991705004,1996
1995-10-20T12:00:00Z,124.35532706614805,1996
1995-10-21T12:00:00Z,124.13310249250809,1996
1995-10-22T12:00:00Z,123.7773349192161,1996
1995-10-23T12:00:00Z,123.38219541836872,1996
1995-10-24T12:00:00Z,123.15934809711642,1996
1995-10-25T12:00:00Z,122.89200238718125,1996
1995-10-26T12:00:00Z,122.6613696944449,1996
1995-10-27T12:00:00Z,122.44613526864329,1996
1995-10-28T12:00:00Z,122.15041142391028,1996
1995-10-29T12:00:00Z,121.7172323843642,1996
1995-10-30T12:00:00Z,121.25778588407685,1996
1995-10-31T12:00:00Z,120.94715652282751,1996
1995-11-01T12:00:00Z,120.73269402973654,1996
1995-11-02T12:00:00Z,120.44264507694164,1996
1995-11-03T12:00:00Z,120.1442667772903,1996
1995-11-04T12:00:00Z,119.89657417713845,1996
1995-11-05T12:00:00Z,119.3509533475385,1996
1995-11-06T12:00:00Z,118.92513175831631,1996
1995-11-07T12:00:00Z,118.35031746702417,1996
1995-11-08T12:00:00Z,117.94267570207272,1996
1995-11-09T12:00:00Z,117.38419980951319,1996
1995-11-10T12:00:00Z,116.75264871342138,1996
1995-11-11T12:00:00Z,116.14795739048601,1996
1995-11-12T12:00:00Z,115.78579159732628,1996
1995-11-13T12:00:00Z,115.20037250255638,1996
1995-11-14T12:00:00Z,114.46935935383723,1996
1995-11-15T12:00:00Z,113.45859360079888,1996
1995-11-16T12:00:00Z,112.52280936100988,1996
1995-11-17T12:00:00Z,111.61404606133216,1996
1995-11-18T12:00:00Z,110.8013995879413,1996
1995-11-19T12:00:00Z,110.1098146650272,1996
1995-11-20T12:00:00Z,109.35606162306357,1996
1995-11-21T12:00:00Z,108.7395175185544,1996
1995-11-22T12:00:00Z,107.79385943032341,1996
1995-11-23T12:00:00Z,106.97258723533004,1996
1995-11-24T12:00:00Z,106.18412621491815,1996
1995-11-25T12:00:00Z,105.36253575243204,1996
1995-11-26T12:00:00Z,104.51408267922221,1996
1995-11-27T12:00:00Z,103.80068839518839,1996
1995-11-28T12:00:00Z,103.02770482585612,1996
1995-11-29T12:00:00Z,103.09287021227347,1996
1995-11-30T12:00:00Z,103.35280935222258,1996
1995-12-01T12:00:00Z,102.3594915164611,1996
1995-12-02T12:00:00Z,101.97058328583917,1996
1995-12-03T12:00:00Z,101.22475233804558,1996
1995-12-04T12:00:00Z,100.53225236376674,1996
1995-12-05T12:00:00Z,99.92872253491197,1996
1995-12-06T12:00:00Z,99.27788536607254,1996
1995-12-07T12:00:00Z,98.6558927411295,1996
1995-12-08T12:00:00Z,97.81726513584002,1996
1995-12-09T12:00:00Z,96.99865019900683,1996
1995-12-10T12:00:00Z,96.35721993632279,1996
1995-12-11T12:00:00Z,95.34444991113472,1996
1995-12-12T12:00:00Z,94.41628990562361,1996
1995-12-13T12:00:00Z,93.65240458378051,1996
1995-12-14T12:00:00Z,92.89962627820505,1996
1995-12-15T12:00:00Z,92.11790049369276,1996
1995-12-16T12:00:00Z,91.27669884876785,1996
1995-12-17T12:00:00Z,90.46208707858648,1996
1995-12-18T12:00:00Z,89.64691992326632,1996
1995-12-19T12:00:00Z,89.16302985664464,1996
1995-12-20T12:00:00Z,88.78404147966793,1996
1995-12-21T12:00:00Z,87.78277212599473,1996
1995-12-22T12:00:00Z,86.97585438738058,1996
1995-12-23T12:00:00Z,86.70714059473872,1996
1995-12-24T12:00:00Z,85.98436718753662,1996
1995-12-25T12:00:00Z,85.0628976324181,1996
1995-12-26T12:00:00Z,84.28011297536025,1996
1995-12-27T12:00:00Z,83.38990833348834,1996
1995-12-28T12:00:00Z,82.79242799663945,1996
1995-12-29T12:00:00Z,82.24556072672185,1996
1995-12-30T12:00:00Z,81.46067326756817,1996
1995-12-31T12:00:00Z,80.94996129558268,1996
1996-01-01T12:00:00Z,80.47517626601633,1996
1996-01-02T12:00:00Z,79.93679734512082,1996
1996-01-03T12:00:00Z,80.41641387756384,1996
1996-01-04T12:00:00Z,80.31176407693314,1996
1996-01-05T12:00:00Z,79.74097803043762,1996
1996-01-06T12:00:00Z,78.94160759370342,1996
1996-01-07T12:00:00Z,78.89710112710735,1996
1996-01-08T12:00:00Z,78.55118604727541,1996
1996-01-09T12:00:00Z,77.65216031043059,1996
1996-01-10T12:00:00Z,76.8900957159032,1996
1996-01-11T12:00:00Z,76.15099346387436,1996
1996-01-12T12:00:00Z,75.52014471373303,1996
1996-01-13T12:00:00Z,74.86711508711441,1996
1996-01-14T12:00:00Z,74.19888566766016,1996
1996-01-15T12:00:00Z,73.7038300347743,1996
1996-01-16T12:00:00Z,73.13033793311529,1996
1996-01-17T12:00:00Z,72.45261524477331,1996
1996-01-18T12:00:00Z,71.97050999193472,1996
1996-01-19T12:00:00Z,71.48519206604846,1996
1996-01-20T12:00:00Z,70.85464518271883,1996
1996-01-21T12:00:00Z,70.36188521267914,1996
1996-01-22T12:00:00Z,69.73298206340787,1996
1996-01-23T12:00:00Z,69.00792643061354,1996
1996-01-24T12:00:00Z,68.3144003119237,1996
1996-01-25T12:00:00Z,67.67709552648186,1996
1996-01-26T12:00:00Z,67.11552424393662,1996
1996-01-27T12:00:00Z,66.41669993409155,1996
1996-01-28T12:00:00Z,65.8006794888886,1996
1996-01-29T12:00:00Z,65.12132543278942,1996
1996-01-30T12:00:00Z,64.44398297159415,1996
1996-01-31T12:00:00Z,63.91788976494252,1996
1996-02-01T12:00:00Z,63.45915865426158,1996
1996-02-02T12:00:00Z,62.868397056520095,1996
1996-02-03T12:00:00Z,62.73140719069931,1996
1996-02-04T12:00:00Z,62.34995702962069,1996
1996-02-05T12:00:00Z,61.59892660139847,1996
1996-02-06T12:00:00Z,61.12876997125599,1996
1996-02-07T12:00:00Z,60.519174810362635,1996
1996-02-08T12:00:00Z,60.13353972271952,1996
1996-02-09T12:00:00Z,59.769761676479405,1996
1996-02-10T12:00:00Z,59.35349735015155,1996
1996-02-11T12:00:00Z,58.846700179769954,1996
1996-02-12T12:00:00Z,58.50049712118734,1996
1996-02-13T12:00:00Z,57.79897182718608,1996
1996-02-14T12:00:00Z,57.280063716108096,1996
1996-02-15T12:00:00Z,56.86093441254376,1996
1996-02-16T12:00:00Z,56.61075954288513,1996
1996-02-17T12:00:00Z,56.16217456124254,1996
1996-02-18T12:00:00Z,55.615277389315835,1996
1996-02-19T12:00:00Z,55.24345637311747,1996
1996-02-20T12:00:00Z,54.74578915088564,1996
1996-02-21T12:00:00Z,54.40416847279348,1996
1996-02-22T12:00:00Z,54.010410535385596,1996
1996-02-23T12:00:00Z,53.52043853009183,1996
1996-02-24T12:00:00Z,53.02826493417137,1996
1996-02-25T12:00:00Z,52.56540076490927,1996
1996-02-26T12:00:00Z,52.1008952895395,1996
1996-02-27T12:00:00Z,51.58206061195598,1996
1996-02-28T12:00:00Z,51.02638189937086,1996
1996-02-29T12:00:00Z,50.56860567812585,1996
1996-03-01T12:00:00Z,50.2278962275477,1996
1996-03-02T12:00:00Z,50.45476595827685,1996
1996-03-03T12:00:00Z,50.64601031362331,1996
1996-03-04T12:00:00Z,50.371309256367724,1996
1996-03-05T12:00:00Z,49.63936383636969,1996
1996-03-06T12:00:00Z,49.29190706048244,1996
1996-03-07T12:00:00Z,48.899350441496175,1996
1996-03-08T12:00:00Z,49.17705231307865,1996
1996-03-09T12:00:00Z,48.625567579812895,1996
1996-03-10T12:00:00Z,48.872036172446904,1996
1996-03-11T12:00:00Z,50.432389944130314,1996
1996-03-12T12:00:00Z,50.47217683843602,1996
1996-03-13T12:00:00Z,50.0858781673841,1996
1996-03-14T12:00:00Z,49.55202178177036,1996
1996-03-15T12:00:00Z,49.3408101201415,1996
1996-03-16T12:00:00Z,48.83587752664311,1996
1996-03-17T12:00:00Z,51.73477959818803,1996
1996-03-18T12:00:00Z,47.994107475807084,1996
1996-03-19T12:00:00Z,48.10131989715338,1996
1996-03-20T12:00:00Z,47.616837023830584,1996
1996-03-21T12:00:00Z,47.11691894714319,1996
1996-03-22T12:00:00Z,46.684043232094545,1996
1996-03-23T12:00:00Z,46.23884651170352,1996
1996-03-24T12:00:00Z,45.709735199871645,1996
1996-03-25T12:00:00Z,45.2551238386661,1996
1996-03-26T12:00:00Z,44.939247206863556,1996
1996-03-27T12:00:00Z,44.442455092660666,1996
1996-03-28T12:00:00Z,44.078009343962506,1996
